3 Contributors2017 Listening Log | Izeezus LyricsSongs
Bed Yeezy Season 5 | Kanye West ft. The Dream
Hypnotised | Coldplay
Sky Walker | Miguel ft. Travis Scott
Rubbin Off The Paint | YBN Nahmir
Biking | Frank Ocean ft. Jay-Z, Tyler the Creator
Melo Ball 1 | Lonzo Ball ft. Kenneth Paige
Up All Night | Surf Dads
Try This | Necklace
Anyone Who Knows What Love Is | Irma Thomas
Stars In The Ceiling | Quavo
Mans Not Hot | Michael Dapaah
444+222 | Lil Uzi Vert
Beat My Face | Rico Nasty
Feels So Good | A$AP MOB
Wrong | A$AP Mob ft. A$AP Rocky & A$AP Ferg
Killamonjaro | Killy
Lil Thing | Knox Fortune
High Tolerance | Ameer Vann
Almost There | Twelve'Len ft. Allan Kingdom
Love Scars | Trippie Redd
Uh Oh, Thots! | XXXTentacion & Trippie Redd
Catch Me Outside | Ski Mask the Slump God
Butterfly Effect | Travis Scott
Bodak Yellow | Cardi B
Sway | Nexxthursday ft. Quavo, Lil Yachty
Red Roses | Lil Skies ft. Landon Cube
It's Everyday Bro | Jake Paul ft. Team 10
Pull Up Wit Ah Stick | SahBabii ft. Loso Loaded
Castle on the Hill | Ed Sheeran
Made in China | Higher Brothers ft. Famous Dex
As If It's Your Last | BLACKPINK
Everyday We Lit | YFN Lucci ft. PNB Rock
Fiji | Pollari
Poppin | Rico Nasty
Villains Freestyle | Lil Pint
Four of a Kind | Magic Hippies
''Stay'100'' | Smooky MarGielaa
Cool | Zack Villere
FOLLOW | BROCKHAMPTON
Witchblades | Lil Peep & Lil Tracy
Friends | Justin Bieber & Bloodpop
Everything 1k | DC The Don
Harden the Paint | Foster The People
Turn Me Down | Jess Connelly
500 Benz | Joey Bada$$
The Race | Tay-K
Bank Account | 21 Savage
Kilo | Lil Durk & Doughboy
Benz Truck | Lil Peep
Crew | GoldLink ft. Brent Faiyaz and Shy Glizzy
TEMPLE_STAGE01 - SYLLABUS
Overwhelming - Matt OX
LAMB | BROCKHAMPTON
Forever Young | Lil Yachty & Diplo
Patty Cake | Kodak Black
Tunnel Vision | Kodak Black
Slide | Calvin Harris ft. Frank Ocean & Migos
Curve | Gucci Mane ft. The Weeknd
Some Way | NAV ft. The Weeknd
No Flag | London On Da Track ft. 21 Savage, Offset & Nicki Minaj
I Get The Bag | Gucci Mane ft. Migos
Plain Jane | A$AP Ferg
