3 ContributorsAs 100 Maiores Músicas Brasileiras LyricsA canção é o termômetro de uma nação. Nós nos sentimos bem? Estamos mal? Precisamos lutar? Então, ouça nossas canções e nos conheça. Através dos tempos, a canção popular vem redesenhando a cara do Brasil, refletindo nossas incertezas e anseios, esperando que os tempos turbulentos fossem embora e que a celebração finalmente fincasse bandeira. Estas 100 canções atestam a perenidade da nossa música. É um justo tributo a seus criadores e também a seus intérpretes.
100 "Anna Júlia"  -  Los Hermanos
99 	"Rua Augusta" - Ronnie Cord
98 	"A Noite do Meu Bem" - Dolores Duran
97 	"Você Não Soube Me Amar"	Blitz
96 	"Disritmia" 	Martinho da Vila
95 	"Último Desejo" 	Aracy de Almeida
94 	"O Mar" 	Dorival Caymmi
93 	"Casa no Campo" 	Elis Regina
92 	Tico Tico no Fubá 	Ademilde Fonseca
91 	"Felicidade" 	Caetano Veloso
90 	"2001" 	Os Mutantes
89 	"A Flor e o Espinho" 	Nelson Cavaquinho
88 	Sá Marina 	Wilson Simonal
87 	Meu Mundo e Nada Mais 	Guilherme Arantes
86 	Nervos de Aço 	Paulinho da Viola
85 	O Barquinho 	Maysa
84 	"Rosa" 	Orlando Silva
83 	"Ideologia" 	Cazuza
82 	"Sossego 	Tim Maia
81 	"Que País É Este?" 	Legião Urbana
80 	"Vapor Barato" 	Gal Costa
79 	"Maria Fumaça" 	Banda Black Rio
78 	"Cálice" 	Chico Buarque e Milton Nascimento
77 	"Insensatez "	Tom Jobim
76 	"Samba de Verão" 	Marcos Valle
75 	"Foi um Rio Que Passou em Minha Vida" 	Paulinho da Viola
74 	"Sentado à Beira do Caminho" 	Erasmo Carlos
73 	"Wave" 	Tom Jobim
72 	"Gita" 	Raul Seixas
71 	"Como Uma Onda" 	Lulu Santos
70 	"Ronda" 	Inezita Barroso
69 	"Rosa de Hiroshima" 	Secos & Molhados
68 	"Comida" 	Titãs
67 	"A Banda" 	Nara Leão
66 	"Clube na Esquina nº2" 	Milton Nascimento
65 	"BR-3" 	Toni Tornado
64 	"As Curvas da Estrada de Santos" 	Roberto Carlos
63 	"Alagados" 	Paralamas do Sucesso
62 	"Luar do Sertão" 	Luiz Gonzaga
61 	Chão de Estrelas" 	Silvio Caldas
60 	"Na Rua, na Chuva, na Fazenda" 	Hyldon
59 	"Minha Namorada" 	Carlos Lyra
58 	Apesar de Você 	Chico Buarque
57 	Conversa de Botequim 	Noel Rosa
56 	A Lua e Eu 	Cassiano
55 	"Balada do Louco" 	Os Mutantes
54 	Sabiá 	Cynara e Cybele
53 	Brasileirinho 	Waldir Azevedo
52 	"Diário de um Detento" 	Racionais MC's
51 	"Disparada" 	Jair Rodrigues
50 	"Ando Meio Desligado" 	Os Mutantes
49 	"Os Alquimistas Estão Chegando" 	Jorge Ben
48 	"Maracatu Atômico" Chico Science & Nação Zumbi
47 	"Me Chama" 	Lobão e os Ronaldos
46 	"Ponteio" 	Edu Lobo e Marília Medalha
45 	"Carcará" 	Maria Bethânia
44 	"Azul da Cor do Mar" 	Tim Maia
43 	"Como Nossos Pais" 	Elis Regina
42 	"Sampa" 	Caetano Veloso
41 	"Manhã de Carnaval" 	Luiz Bonfá
40 	"Sangue Latino" 	Secos & Molhados
39 	"Metamorfose Ambulante "	Raul Seixas
38 	"Eu Quero É Botar Meu Bloco na Rua" 	Sérgio Sampaio
37 	"Primavera" 	Tim Maia
36 	"O Bêbado e a Equilibrista" 	Elis Regina
35 	Trem Azul 	Lô Borges
34 	Brasil Pandeiro 	Novos Baianos
33 	Pérola Negra 	Luiz Melodia
32 	Ovelha Negra 	Rita Lee
31 	Travessia 	Milton Nascimento
30 	Baby 	Gal Costa
29 	Nanã - Coisa Número 5 	Moacir Santos
28 	Pra não Dizer que não Falei das Flores 	Geraldo Vandré
27 	Garota de Ipanema 	Pery Ribeiro
26 	Roda Viva 	Chico Buarque e MPB4
25 	País Tropical 	Wilson Simonal
24 	"Eu Sei Que Vou Te Amar" 	Vinícius de Moraes
23 	"Inútil" 	Ultraje a Rigor
22 	"Da Lama ao Caos" 	Chico Science & Nação Zumbi
21 	"Tropicália" 	Caetano Veloso
20 	"Preta Pretinha" 	Novos Baianos
19 	"Quero que Vá Tudo pro Inferno" 	Roberto Carlos
18 	"Sinal Fechado" 	Chico Buarque
17 	"O Mundo É um Moinho" 	Cartola
16 	"Ouro de Tolo" 	Raul Seixas
15 	"Trem das Onze" 	Demônios da Garoa
14 	"Desafinado" 	João Gilberto
13 	"As Rosas Não Falam" 	Cartola
12 	"Aquarela do Brasil" 	Francisco Alves
11 	"Domingo no Parque" 	Gilberto Gil e Os Mutantes
10 	"Alegria, Alegria" 	Caetano Veloso
9 	"O Canto de Ossanha" 	Vinicius de Moraes e Baden Powell
8 	"Detalhes" 	Roberto Carlos
7 	"Panis et Circenses" 	Os Mutantes
6 	"Chega de Saudade" 	João Gilberto
5 	"Mas Que Nada" 	Jorge Ben
4 	"Asa Branca" 	Luiz Gonzaga
3 	"Carinhoso" 	Pixinguinha
2 	"Águas de Março" 	Elis Regina e Tom Jobim
1 	"Construção"	Chico BuarqueEmbed
