audio_path,caption
6YQmKn1VFatcAVwjSXdBiX.npy,[0:00-10:00] with with with with with with with with with [10:00-20:00]  [20:00-30:00] 
2nC6sOquD3iftWwqweRBqM.npy,[0:00-10:00] The song is sung by a male singer and it belongs to the blues genre. [10:00-20:00]  [20:00-30:00] 
1uDx3Q5KvzdVRog2rjuXTB.npy,[0:00-10:00] with with with with with with with with with [10:00-20:00]  [20:00-30:00] 
1i4RHGPmGfVHfZZCP5RYwo.npy,[0:00-10:00] The song is of the blues genre and it was probably recorded with a phone. [10:00-20:00]  [20:00-30:00] 
4Qyp1FUrpsPMFUKUE0bko5.npy,[0:00-10:00] The e-guitar is playing a melody panned to the right side of the speakers. [10:00-20:00]  [20:00-30:00] 
1BwhFXqoIsePt21WyWIttb.npy,[0:00-10:00] The e-guitar is used to pick single notes as a melody in the song. [10:00-20:00]  [20:00-30:00] 
0RJWLjp3bVLMtolVDhkReN.npy,[0:00-10:00] The e-guitar is playing a solo in this song. [10:00-20:00]  [20:00-30:00] 
1c6o65oNrLEwypWbn4hlAD.npy,[0:00-10:00] The song is a Reggae Pop genre and it is sung by a male vocalist. [10:00-20:00]  [20:00-30:00] 
70HFlvpr5UtzrLQdTrUNG3.npy,[0:00-10:00] with with with with with with with with with [10:00-20:00]  [20:00-30:00] 
6IpWHTq2ikF3PAFErA8XFg.npy,[0:00-10:00] The song is a folk song and it conveys a happy mood. [10:00-20:00]  [20:00-30:00] 
0jcfxdCdl9TrSRP9Y17N1L.npy,[0:00-10:00] The genre of this song is jazz. [10:00-20:00]  [20:00-30:00] 
1Cr9Mx255GPY3PrfH9LJVn.npy,[0:00-10:00] with with with with with with with with with [10:00-20:00]  [20:00-30:00] 
2hTOFrOwoYfpeQeKjvl1z3.npy,[0:00-10:00] with with with with with with with with with [10:00-20:00]  [20:00-30:00] 
0n9t9GZKv7kCmPLfEOY02K.npy,[0:00-10:00] with with with with with with with with with [10:00-20:00]  [20:00-30:00] 
2yDQVcj26tpi9IUJhw9xDs.npy,[0:00-10:00] The performer in this song is a male singer and the backup singers provide vocal harmony. [10:00-20:00]  [20:00-30:00] 
3CcpihU1LD8JdPmTHivD2z.npy,[0:00-10:00] The backup singers in this song provide vocal harmony. [10:00-20:00]  [20:00-30:00] 
786A1COBnPjbhoBp8IROZD.npy,[0:00-10:00] with with with with with with with with with [10:00-20:00]  [20:00-30:00] 
5cPcd6pLrpDVmKnonjd3EQ.npy,[0:00-10:00] The genre of the song is Techno Pop/EDM. [10:00-20:00]  [20:00-30:00] 
2OLfqWLQICAJj3Nsm36KP8.npy,[0:00-10:00] with with with with with with with with with [10:00-20:00]  [20:00-30:00] 
0b7TArD7IIt106PV7WL9XE.npy,[0:00-10:00] The song is a romantic love song and it can be played in a romantic movie. [10:00-20:00]  [20:00-30:00] 
0MvsfFXD0XkeOcPUOO5XaH.npy,[0:00-10:00] The song is of pop genre and is sung by a female singer. [10:00-20:00]  [20:00-30:00] 
6M3tbJcqQDOrTE9EbataIr.npy,[0:00-10:00] The genre of this song is Hip-Hop. [10:00-20:00]  [20:00-30:00] 
1YxK9pZZ7FSv1yHEm9gnpp.npy,[0:00-10:00] with with with with with with with with with [10:00-20:00]  [20:00-30:00] 
70S8VTNfveItzpDGUnwgCJ.npy,"[0:00-10:00] The genre of the song is not explicitly mentioned, but the use of a walking bassline, jazz chords, and brass instruments suggest that it could be a jazz piece. [10:00-20:00]  [20:00-30:00] "
5UNxAo3uyVHrtZTIgw1lSv.npy,[0:00-10:00] with with with with with with with with with [10:00-20:00]  [20:00-30:00] 
6h4JFamZhYCPtR6WkrFdv4.npy,[0:00-10:00] with with with with with with with with with [10:00-20:00]  [20:00-30:00] 
1rpK4c9dL1oI8O52fO9HEl.npy,[0:00-10:00] with with with with with with with with with [10:00-20:00]  [20:00-30:00] 
5n4n21iS3KUhHN6kFja8kb.npy,[0:00-10:00] The e-guitar is playing a melody panned to the right side of the speakers. [10:00-20:00]  [20:00-30:00] 
2Y3SdvPMWj3ZtOJBfDnAud.npy,[0:00-10:00] The genre of the song is Hungarian hip-hop. [10:00-20:00]  [20:00-30:00] 
5ZyhkgdOZ4fTAc1iwSfrHT.npy,[0:00-10:00] with with with with with with with with with [10:00-20:00]  [20:00-30:00] 
20l12seQ3ZPnbsPgy5Oeai.npy,[0:00-10:00] The performer of this song is a male vocalist and the genre is pop. [10:00-20:00]  [20:00-30:00] 
6607INWM4gWwj0bGFVo4vz.npy,[0:00-10:00] The song is of the Hip-Hop/Rap genre and it has a fast tempo. [10:00-20:00]  [20:00-30:00] 
1vRZ11JBigmUiZzIDCtYtn.npy,[0:00-10:00] The genre of this song is blues. [10:00-20:00]  [20:00-30:00] 
53zOnJMw4x2soBzedj2UnZ.npy,[0:00-10:00] The male voice is singing in a reggae-fashion and in a higher key. [10:00-20:00]  [20:00-30:00] 
4FnbwfZUaMeewOfpTJRf6O.npy,[0:00-10:00] The song is a folk song and it conveys a happy mood. [10:00-20:00]  [20:00-30:00] 
5jNzMCQVkWFyutLxCXi3rS.npy,[0:00-10:00] The described song is of the Hip-Hop genre and it features a male vocalist. [10:00-20:00]  [20:00-30:00] 
76i8EfDNp9Jj7lb0FsuGga.npy,[0:00-10:00] The genre of this song is pop and the mood of the song is passionate and emotional. [10:00-20:00]  [20:00-30:00] 
31cfi7MRTvDkAWZY9Kkd2z.npy,[0:00-10:00] with with with with with with with with with [10:00-20:00]  [20:00-30:00] 
01rntacu6clKb9acYmmaWp.npy,[0:00-10:00] The orchestra’s cover of this song is a symphonic song. [10:00-20:00]  [20:00-30:00] 
52IKeEvC2QzBpyTG4mRGZF.npy,[0:00-10:00] with with with with with with with with with [10:00-20:00]  [20:00-30:00] 
6d54g9K5lfSvrIw4CGG35r.npy,[0:00-10:00] with with with with with with with with with [10:00-20:00]  [20:00-30:00] 
0RBwK6GDmq2CACUzlsBw7B.npy,[0:00-10:00] with with with with with with with with with [10:00-20:00]  [20:00-30:00] 
43KZPY4NKBWLKszMrOsCoC.npy,[0:00-10:00] with with with with with with with with with [10:00-20:00]  [20:00-30:00] 
0ntwnVvvLAavEpV3uN1oTN.npy,[0:00-10:00] The song is a folk song and it conveys a happy mood. [10:00-20:00]  [20:00-30:00] 
1rAESNsSXvXpJh9hCjgHVX.npy,[0:00-10:00] The song is a Reggae Fusion/ Hip-Hop song. [10:00-20:00]  [20:00-30:00] 
0dlqL10KW7c3jLAJDA2Rbo.npy,[0:00-10:00] with with with with with with with with with [10:00-20:00]  [20:00-30:00] 
6PldDD3631HjKvPedhj4vq.npy,[0:00-10:00] The performer of this song is a male rock singer and the genre is hard rock. [10:00-20:00]  [20:00-30:00] 
4MF2DF1JhjGYZKsS356nhy.npy,[0:00-10:00] The song is of Pop genre and features a male voice singing the main melody. [10:00-20:00]  [20:00-30:00] 
